title,company,location,stipend,category,field,skills_detected
Video Editing/Making,Ask First,Remote/NA,"₹ 13,000 - 17,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,WAH FILMS,Remote/NA,"₹ 15,000 /month",Video Editing,Creative,Video Editing
Graphic Design,Relomi Corporate Services LLP,Remote/NA,"₹ 10,000 - 15,000 /month",Video Editing,Creative,Graphic Design
Content and Social Media Marketing,Tattva Gems,Remote/NA,"₹ 12,000 - 20,000 /month",Video Editing,Creative,"Marketing, Social Media"
Video Editing/Making,Scaler Academy,Remote/NA,"₹ 20,000 - 25,000 /month",Video Editing,Creative,Video Editing
Graphic Design,VIZON,Remote/NA,"₹ 10,500 - 20,000 /month",Video Editing,Creative,Graphic Design
Video Editing/Making,Shunya Digital,Remote/NA,"₹ 5,500 - 7,001 /month",Video Editing,Creative,Video Editing
Not found,Not found,Remote/NA,Not listed,Video Editing,Creative,General
Social Media Marketing,Imarticus Learning Private Limited,Remote/NA,"₹ 12,000 - 15,000 /month",Video Editing,Creative,"Marketing, Social Media"
Video Editing/Making,Vaibhav Global Limited,Remote/NA,"₹ 12,000 - 14,000 /month",Video Editing,Creative,Video Editing
Animation,VIZON,Remote/NA,"₹ 14,000 - 26,000 /month",Video Editing,Creative,Animation
Videography,Shunya Digital,Remote/NA,"₹ 5,000 - 10,000 /month",Video Editing,Creative,General
Video Editing/Making,Shunya Digital,Remote/NA,"₹ 6,000 - 12,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,Recliners India Private Limited,Remote/NA,"₹ 5,000 - 8,000 /month",Video Editing,Creative,Video Editing
Graphic Design,Cricket Academy of Pathans,Remote/NA,"₹ 8,000 - 10,000 /month",Video Editing,Creative,Graphic Design
Digital Marketing,Pulse Pharmaceuticals,Remote/NA,"₹ 15,000 - 20,000 /month",Video Editing,Creative,Marketing
Video Editing/Making,91 Trucks,Remote/NA,"₹ 10,000 - 15,000 /month",Video Editing,Creative,Video Editing
Content and Social Media Marketing,Butterfly Learnings,Remote/NA,"₹ 5,000 - 8,000 /month",Video Editing,Creative,"Marketing, Social Media"
Social Media Marketing,Tarashastra,Remote/NA,"₹ 5,000 - 6,000 /month",Video Editing,Creative,"Marketing, Social Media"
Video Editing/Making,GNF International,Remote/NA,"₹ 10,000 - 12,000 /month",Video Editing,Creative,Video Editing
Graphic Design,Next Step Talents Private Limited,Remote/NA,"₹ 3,000 - 5,000 /month",Video Editing,Creative,Graphic Design
Influencer Marketing,Career-Domain,Remote/NA,"₹ 5,000 /month",Video Editing,Creative,Marketing
Social Media Marketing,Career-Domain,Remote/NA,"₹ 5,000 /month",Video Editing,Creative,"Marketing, Social Media"
Photography,Rebiotic Solutions,Remote/NA,"₹ 20,000 /month",Video Editing,Creative,General
Instagram Reels Editor,Career-Domain,Remote/NA,"₹ 2,000 - 5,000 /month",Video Editing,Creative,General
Social Media Video Editor,Career-Domain,Remote/NA,"₹ 2,000 - 5,000 /month",Video Editing,Creative,Social Media
Video Content Creator,Career-Domain,Remote/NA,"₹ 2,000 - 5,000 /month",Video Editing,Creative,General
Video Editing/Making,Career-Domain,Remote/NA,"₹ 2,000 - 5,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,Manan Patodia,Remote/NA,"₹ 15,000 - 21,000 /month",Video Editing,Creative,Video Editing
Content and Social Media Marketing,Sammyukk Clothing Pvt Ltd,Remote/NA,"₹ 3,000 /month",Video Editing,Creative,"Marketing, Social Media"
Videographer,Aureva Wealth Advisors Private Limited,Remote/NA,"₹ 8,000 - 10,000 /month",Video Editing,Creative,General
Graphic Design,International Institute Of Data Science & Technology,Remote/NA,"₹ 10,000 - 20,000 /month",Video Editing,Creative,Graphic Design
Videgraphy & Video Editor,Cocoma Digital Private Limited,Remote/NA,"₹ 8,000 - 10,000 /month",Video Editing,Creative,General
Content and Social Media Marketing,1 Stop Cine Digital Private Limited,Remote/NA,"₹ 6,000 - 6,001 /month",Video Editing,Creative,"Marketing, Social Media"
Video Editing/Making,Orvador,Remote/NA,"₹ 8,000 - 10,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,Dr. Veda,Remote/NA,"₹ 5,000 - 10,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,Ambrosia Botanical,Remote/NA,"₹ 12,000 /month",Video Editing,Creative,Video Editing
Social Media & Content Creation,Innow8,Remote/NA,"₹ 8,000 - 12,000 /month",Video Editing,Creative,Social Media
Graphic And Product Designer (3 Months - Contract),Janapada Udayan Welfare Foundation,Remote/NA,"₹ 12,000 - 15,000 /month",Video Editing,Creative,General
Digital Marketing,Ramyoz,Remote/NA,"₹ 10,000 /month",Video Editing,Creative,Marketing
Video Editing/Making,Vkare Bio Sciences Private Limited,Remote/NA,"₹ 5,000 - 6,000 /month",Video Editing,Creative,Video Editing
Graphic Design,ViralChilly,Remote/NA,"₹ 6,000 - 8,000 /month",Video Editing,Creative,Graphic Design
Video Editing/Making,Zero Latency India,Remote/NA,"₹ 6,000 - 10,000 /month",Video Editing,Creative,Video Editing
Video Editing/Making,Pure Cosmeceuticals Private Limited,Remote/NA,"₹ 8,000 - 12,000 /month",Video Editing,Creative,Video Editing
Graphic Design,Digital Heroes,Remote/NA,"₹ 20,000 - 25,000 /month",Video Editing,Creative,Graphic Design
Business Development & Strategic Outreach (Remote),Matsolvion Private Limited,Remote/NA,"₹ 10,000 - 14,000 /month",Social Media,Creative,Business Development
Fundraising,Scope For Change,Remote/NA,Unpaid,Social Media,Creative,General
LinkedIn Marketing,Scope For Change,Remote/NA,Unpaid,Social Media,Creative,Marketing
Content and Social Media Marketing,Osumare,Remote/NA,"₹ 10,000 - 16,000 /month",Social Media,Creative,"Marketing, Social Media"
University Relations Executive,EduVeda Academy,Remote/NA,"₹ 40,000 - 50,000 /month",Social Media,Creative,General
Digital Marketing,Graps Marketing Pvt Ltd,Remote/NA,"₹ 3,000 - 5,000 /month",Social Media,Creative,Marketing
Marketing,WeMakeScholars,Remote/NA,"₹ 6,000 - 16,000 /month",Social Media,Creative,Marketing
Content Marketing,WeMakeScholars,Remote/NA,"₹ 8,000 - 16,000 /month",Social Media,Creative,Marketing
Sales (Business Development),Quantafile Technologies,Remote/NA,"₹ 1,700 /month",Social Media,Creative,"Sales, Business Development"
Social Media Marketing,Gigde Global Solutions Private Limited,Remote/NA,"₹ 5,000 - 7,000 /month",Social Media,Creative,"Marketing, Social Media"
Not found,Not found,Remote/NA,Not listed,Social Media,Creative,General
1 Week Virtual Charity (Fundraising Drive),NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,General
Business Development (Sales),Comacks,Remote/NA,"₹ 7,000 - 23,000 /month",Social Media,Creative,"Sales, Business Development"
Growth Hacker - Real Estate (Al & Landing Pages),Valstrand Solutions Private Limited,Remote/NA,"₹ 15,000 - 30,000 /month",Social Media,Creative,General
Digital Marketing,Lumos42 Private Limited,Remote/NA,"₹ 5,000 - 8,000 /month",Social Media,Creative,Marketing
1 Week Fundraising,She Can Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,General
Social Internship Program (60 Hours) - Virtual,Scope For Change,Remote/NA,Unpaid,Social Media,Creative,General
Business Development (Sales),She Can Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,"Sales, Business Development"
Business Development,Pawzz,Remote/NA,"₹ 1,500 - 15,000 /month",Social Media,Creative,Business Development
Business Development (Sales),KAZK LABS,Remote/NA,"₹ 18,000 - 40,000 /month",Social Media,Creative,"Sales, Business Development"
Content and Social Media Marketing,Green Media Network Pvt. Ltd,Remote/NA,"₹ 4,000 - 8,000 /month",Social Media,Creative,"Marketing, Social Media"
Social Media Marketing,Eduminatti,Remote/NA,"₹ 5,000 - 10,000 /month",Social Media,Creative,"Marketing, Social Media"
Media & Public Relations (PR),Pawzz Foundation,Remote/NA,"₹ 1,500 - 15,000 /month",Social Media,Creative,General
Digital Marketing,L D ENTERPRISE,Remote/NA,"₹ 9,000 - 20,000 /month",Social Media,Creative,Marketing
Content And Marketing Volunteer,Dbx Studio,Remote/NA,"₹ 1,000 - 5,000 /month",Social Media,Creative,Marketing
Digital Marketing,Across The Globe (ATG),Remote/NA,"₹ 8,000 - 10,000 /month",Social Media,Creative,Marketing
Instagram Video/Reel Editor,Allo Innoware,Remote/NA,"₹ 4,000 - 5,000 /month",Social Media,Creative,General
Online Marketing,Rural Development Society,Remote/NA,"₹ 1,000 - 3,500 /month",Social Media,Creative,Marketing
MBA Management Trainees(Marketing)_Freshers,EJAmerica,Remote/NA,Competitive stipend,Social Media,Creative,Marketing
Business Development (Sales),Basti Ki Pathshala Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,"Sales, Business Development"
Social Entrepreneurship,Basti Ki Pathshala Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,General
Social Entrepreneurship,Rural Development Society,Remote/NA,"₹ 1,000 - 4,500 /month",Social Media,Creative,General
Fundraising,NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,General
Community Influencing,She Can Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,General
7 Days Virtual Charity Drive,NayePankh Foundation,Remote/NA,"₹ 1,500 - 15,000 lump sum",Social Media,Creative,General
Campaign Outreach Manager,WeMakeScholars,Remote/NA,"₹ 6,000 - 16,000 /month",Social Media,Creative,General
Lead Generation,Tripple One Solutions,Remote/NA,"₹ 3,000 - 15,000 /month",Social Media,Creative,General
Business Development (Sales),"Lush Global (Phoenix, United States)",Remote/NA,"₹ 3,300 - 56,000 /month",Social Media,Creative,"Sales, Business Development"
Digital Marketing,Crave,Remote/NA,"₹ 15,000 - 25,000 /month",Social Media,Creative,Marketing
Social Media Marketing,Cannibals Media Pvt. Ltd.,Remote/NA,"₹ 4,000 /month",Social Media,Creative,"Marketing, Social Media"
Marketing,Careers360,Remote/NA,"₹ 15,150 lump sum",Social Media,Creative,Marketing
Product Design,Seric Steel Technologies Private Limited,Remote/NA,"₹ 10,000 - 12,000 /month",Civil Engineering,Other,General
Civil Engineering,Marrian Infra Pvt. Ltd.,Remote/NA,"₹ 8,000 - 10,000 /month",Civil Engineering,Other,Civil
Robotics,Main Marshals,Remote/NA,"₹ 8,000 - 10,000 /month",Civil Engineering,Other,General
Robotics Mentor,The Innovation Story,Remote/NA,"₹ 7,000 - 15,000 /month",Civil Engineering,Other,General
Junior Architect,The Agency Source,Remote/NA,"₹ 10,000 /month",Civil Engineering,Other,General
3D Game Artist,Absurd Games Private Limited,Remote/NA,"₹ 8,000 - 10,000 /month",Civil Engineering,Other,General
Robotics Trainer Cum Engineer,I Think Robotics Lab,Remote/NA,"₹ 5,000 - 6,000 /month",Civil Engineering,Other,General
Interior Design,Aarambh Architects & Engineers,Remote/NA,"₹ 6,000 - 15,000 /month",Civil Engineering,Other,General
Mechanical Engineering (Prototype Development),Kaarpa Sporting Goods Pvt Ltd,Remote/NA,"₹ 5,000 - 7,500 /month",Civil Engineering,Other,Mechanical
Mechanical Product Designer & 3D Printing Engineer,3D Paradise,Remote/NA,"₹ 20,000 /month",Civil Engineering,Other,Mechanical
Not found,Not found,Remote/NA,Not listed,Civil Engineering,Other,General
Industrial And Production Engineering,Unicon Engineers,Remote/NA,"₹ 3,000 - 3,500 /month",Civil Engineering,Other,General
Product Design,Peckko,Remote/NA,"₹ 13,000 - 20,000 /month",Civil Engineering,Other,General
LEGO Robotics And STEM Educators,RoboLectro STEAM Studio,Remote/NA,"₹ 10,000 - 20,000 /month",Civil Engineering,Other,General
Site survey and Drafting Intern,Advit Ventures,Remote/NA,"₹ 12,000 - 15,000 /month",Civil Engineering,Other,General
CAD Design,Lunar Engine Labs,Remote/NA,"₹ 15,000 - 16,000 /month",Civil Engineering,Other,General
Civil Engineering,Cyond,Remote/NA,"₹ 6,000 - 8,000 /month",Civil Engineering,Other,Civil
Robotics Engineer,PixaCrafts,Remote/NA,"₹ 5,000 - 15,000 /month",Civil Engineering,Other,General
Product Visualisation/3D Rendering,LightForms,Remote/NA,"₹ 5,000 - 10,000 /month",Civil Engineering,Other,General
Repository Research And Building,Values N Worth Marketing LLP,Remote/NA,"₹ 3,000 - 4,000 /month",Civil Engineering,Other,Research
Mechanical Diploma Engineer,TECHNOBOTIX PRIVATE LIMITED,Remote/NA,"₹ 8,000 - 10,000 /month",Civil Engineering,Other,Mechanical
Automobile Engineering,Suresh Dani's Classes,Remote/NA,"₹ 2,000 - 2,001 /month",Civil Engineering,Other,General
Architecture,A Plus R Architects,Remote/NA,"₹ 7,000 - 17,000 /month",Civil Engineering,Other,General
Application Engineer,Special Mineral Specialities Pvt Ltd,Remote/NA,"₹ 15,000 /month",Civil Engineering,Other,General
2D/3D Animation,DCC,Remote/NA,"₹ 5,000 - 8,000 /month",Civil Engineering,Other,Animation
Mechanical Engineering,The Whiz Lab,Remote/NA,"₹ 10,000 - 12,000 /month",Civil Engineering,Other,Mechanical
Thermal Engineering,Tencom Intellectual Ventures,Remote/NA,"₹ 10,000 - 12,000 /month",Civil Engineering,Other,General
Food Processing Engineering,Tummy Friendly Foods Private Limited,Remote/NA,"₹ 10,000 /month",Civil Engineering,Other,General
Design intern,Kirloskar Pneumatic Company Ltd.,Remote/NA,"₹ 10,000 - 12,000 /month",Civil Engineering,Other,General
Robotics,Sunday Bricks Edu Services,Remote/NA,"₹ 10,000 - 15,000 /month",Civil Engineering,Other,General
Blender Designer (3D View Designing),JethiTech Solutions,Remote/NA,"₹ 3,000 - 10,000 /month",Civil Engineering,Other,General
Architecture,Emaar India Limited,Remote/NA,"₹ 20,000 /month",Civil Engineering,Other,General
Interior Design,Design District,Remote/NA,"₹ 4,000 - 5,000 /month",Civil Engineering,Other,General
Site Supervisor,The Design Interiors,Remote/NA,"₹ 8,000 - 15,000 /month",Civil Engineering,Other,General
Industrial And Production Engineering,Unicon Engineers,Remote/NA,"₹ 3,000 - 6,000 /month",Civil Engineering,Other,General
Product Design (AutoCAD/Solidworks),Toyart DIY Enterprises,Remote/NA,"₹ 2,000 /month",Civil Engineering,Other,AutoCAD
Industrial And Production Engineering,Chennai Technologies,Remote/NA,"₹ 5,000 - 10,000 /month",Civil Engineering,Other,General
AI Video Editor,Eminence Studios,Remote/NA,"₹ 5,000 - 15,000 /month",Civil Engineering,Other,AI
Vendor Procurement,Inspacco,Remote/NA,"₹ 7,000 - 10,000 /month",Civil Engineering,Other,General
Industrial And Production Engineering,Suresh Dani's Classes,Remote/NA,"₹ 2,000 - 2,001 /month",Civil Engineering,Other,General
Civil Engineering,Suresh Dani's Classes,Remote/NA,"₹ 2,000 - 2,001 /month",Civil Engineering,Other,Civil
Product Design,Seric Steel Technologies Private Limited,Remote/NA,"₹ 10,000 - 12,000 /month",Mechanical,Other,General
Robotics,Main Marshals,Remote/NA,"₹ 8,000 - 10,000 /month",Mechanical,Other,General
Robotics Mentor,The Innovation Story,Remote/NA,"₹ 7,000 - 15,000 /month",Mechanical,Other,General
Junior Architect,The Agency Source,Remote/NA,"₹ 10,000 /month",Mechanical,Other,General
3D Game Artist,Absurd Games Private Limited,Remote/NA,"₹ 8,000 - 10,000 /month",Mechanical,Other,General
Robotics Trainer Cum Engineer,I Think Robotics Lab,Remote/NA,"₹ 5,000 - 6,000 /month",Mechanical,Other,General
Interior Design,Aarambh Architects & Engineers,Remote/NA,"₹ 6,000 - 15,000 /month",Mechanical,Other,General
Mechanical Engineering (Prototype Development),Kaarpa Sporting Goods Pvt Ltd,Remote/NA,"₹ 5,000 - 7,500 /month",Mechanical,Other,Mechanical
Mechanical Product Designer & 3D Printing Engineer,3D Paradise,Remote/NA,"₹ 20,000 /month",Mechanical,Other,Mechanical
Industrial And Production Engineering,Unicon Engineers,Remote/NA,"₹ 3,000 - 3,500 /month",Mechanical,Other,General
Not found,Not found,Remote/NA,Not listed,Mechanical,Other,General
Product Design,Peckko,Remote/NA,"₹ 13,000 - 20,000 /month",Mechanical,Other,General
LEGO Robotics And STEM Educators,RoboLectro STEAM Studio,Remote/NA,"₹ 10,000 - 20,000 /month",Mechanical,Other,General
Site survey and Drafting Intern,Advit Ventures,Remote/NA,"₹ 12,000 - 15,000 /month",Mechanical,Other,General
CAD Design,Lunar Engine Labs,Remote/NA,"₹ 15,000 - 16,000 /month",Mechanical,Other,General
Robotics Engineer,PixaCrafts,Remote/NA,"₹ 5,000 - 15,000 /month",Mechanical,Other,General
Product Visualisation/3D Rendering,LightForms,Remote/NA,"₹ 5,000 - 10,000 /month",Mechanical,Other,General
Mechanical Diploma Engineer,TECHNOBOTIX PRIVATE LIMITED,Remote/NA,"₹ 8,000 - 10,000 /month",Mechanical,Other,Mechanical
Automobile Engineering,Suresh Dani's Classes,Remote/NA,"₹ 2,000 - 2,001 /month",Mechanical,Other,General
Architecture,A Plus R Architects,Remote/NA,"₹ 7,000 - 17,000 /month",Mechanical,Other,General
Application Engineer,Special Mineral Specialities Pvt Ltd,Remote/NA,"₹ 15,000 /month",Mechanical,Other,General
2D/3D Animation,DCC,Remote/NA,"₹ 5,000 - 8,000 /month",Mechanical,Other,Animation
Mechanical Engineering,The Whiz Lab,Remote/NA,"₹ 10,000 - 12,000 /month",Mechanical,Other,Mechanical
Thermal Engineering,Tencom Intellectual Ventures,Remote/NA,"₹ 10,000 - 12,000 /month",Mechanical,Other,General
Food Processing Engineering,Tummy Friendly Foods Private Limited,Remote/NA,"₹ 10,000 /month",Mechanical,Other,General
Design intern,Kirloskar Pneumatic Company Ltd.,Remote/NA,"₹ 10,000 - 12,000 /month",Mechanical,Other,General
Robotics,Sunday Bricks Edu Services,Remote/NA,"₹ 10,000 - 15,000 /month",Mechanical,Other,General
Blender Designer (3D View Designing),JethiTech Solutions,Remote/NA,"₹ 3,000 - 10,000 /month",Mechanical,Other,General
Architecture,Emaar India Limited,Remote/NA,"₹ 20,000 /month",Mechanical,Other,General
Interior Design,Design District,Remote/NA,"₹ 4,000 - 5,000 /month",Mechanical,Other,General
Industrial And Production Engineering,Unicon Engineers,Remote/NA,"₹ 3,000 - 6,000 /month",Mechanical,Other,General
Product Design (AutoCAD/Solidworks),Toyart DIY Enterprises,Remote/NA,"₹ 2,000 /month",Mechanical,Other,AutoCAD
Industrial And Production Engineering,Chennai Technologies,Remote/NA,"₹ 5,000 - 10,000 /month",Mechanical,Other,General
AI Video Editor,Eminence Studios,Remote/NA,"₹ 5,000 - 15,000 /month",Mechanical,Other,AI
Vendor Procurement,Inspacco,Remote/NA,"₹ 7,000 - 10,000 /month",Mechanical,Other,General
Industrial And Production Engineering,Suresh Dani's Classes,Remote/NA,"₹ 2,000 - 2,001 /month",Mechanical,Other,General
Robotics,Cropper Technologies Private Limited,Remote/NA,"₹ 10,001 - 10,201 /month",Mechanical,Other,General
Robotics,Skild.ai,Remote/NA,"₹ 20,000 - 30,000 /month",Mechanical,Other,General
Architect Drafting,Kubo Architecture Studio,Remote/NA,"₹ 5,000 - 7,000 /month",Mechanical,Other,General
Jewelry/Accessories Designer,Nakhrewaali,Remote/NA,"₹ 10,000 - 12,000 /month",Mechanical,Other,General
Robotics Content Developer,ScienceUtsav,Remote/NA,"₹ 12,000 - 18,000 /month",Mechanical,Other,General
Qualified CS,STARTUP GROWW CONSULTING SERVICES PRIVATE LIMITED,Remote/NA,"₹ 25,000 - 35,000 /month",Legal,Other,General
Semi Qualified Company Secretary,STARTUP GROWW CONSULTING SERVICES PRIVATE LIMITED,Remote/NA,"₹ 25,000 - 35,000 /month",Legal,Other,General
Advocate,Eyeshealth Vision Plus Private Limited,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,General
Law/Legal,Kridey Foundation,Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,Housy,Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,Mr n Mrs Pet,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,Legal
Law/Legal,Rajagriham Estates Pvt Ltd,Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,EverTrust Legal,Remote/NA,"₹ 4,000 - 5,000 /month",Legal,Other,Legal
Law/Legal,Finpro Technologies,Remote/NA,"₹ 15,000 - 20,000 /month",Legal,Other,Legal
Law/Legal,Rajagriham Estates Pvt Ltd,Remote/NA,"₹ 3,000 - 5,000 /month",Legal,Other,Legal
Not found,Not found,Remote/NA,Not listed,Legal,Other,General
CS INTERN,Suvitt Service Solutions LLP,Remote/NA,"₹ 8,000 - 12,000 /month",Legal,Other,General
Legal & Policy Research (For Law Students Planning Study LLM In Abroad),HumbleWalking,Remote/NA,"₹ 12,000 - 23,000 /month",Legal,Other,"Research, Legal"
Law/Legal,Hamari Pahchan NGO,Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,Bench Walk Law,Remote/NA,"₹ 2,500 /month",Legal,Other,Legal
Law/Legal,Center For International Promotion Of Sports & Arts (CIPSA),Remote/NA,"₹ 2,500 - 3,000 /month",Legal,Other,Legal
Law/Legal,Resolve360,Remote/NA,"₹ 6,000 /month",Legal,Other,Legal
Law/Legal,Wisdom Legal,Remote/NA,"₹ 2,000 /month",Legal,Other,Legal
Law/Legal,Legodesk,Remote/NA,"₹ 6,500 - 8,000 /month",Legal,Other,Legal
Law/Legal,ABHISHEK BHATNAGAR & ASSOCIATES LEGAL CONSULTANTS LLP,Remote/NA,"₹ 2,000 - 2,001 /month",Legal,Other,Legal
Law/Legal,MD LEGAL LLP,Remote/NA,"₹ 3,000 - 5,000 /month",Legal,Other,Legal
Law/Legal,Legal Manthan Associates,Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,Tulja Estate Private Limited,Remote/NA,"₹ 5,500 - 15,000 /month",Legal,Other,Legal
Law/Legal,"Is It Legal, Sid?",Remote/NA,"₹ 2,000 - 3,000 /month",Legal,Other,Legal
Law/Legal,P2L Impact Learning Empowers Private Limited,Remote/NA,"₹ 2,000 - 2,500 /month",Legal,Other,Legal
Law/Legal,My Online Vakeel,Remote/NA,"₹ 2,000 - 5,000 /month",Legal,Other,Legal
Law/Legal,Utkarsh Singhal,Remote/NA,"₹ 4,000 - 6,000 /month",Legal,Other,Legal
Law/Legal,SUNIL MALLAN Adv,Remote/NA,Unpaid,Legal,Other,Legal
Company Secretary (CS) Internships,Advance Consultant,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,General
Law/Legal,Serv India Consultants (SIC),Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,Nitin Goyal,Remote/NA,"₹ 5,000 - 6,000 /month",Legal,Other,Legal
Law/Legal,Shaan Libby & Associates,Remote/NA,"₹ 20,000 - 40,000 /month",Legal,Other,Legal
Law/Legal,Resolve360,Remote/NA,"₹ 5,500 - 7,000 /month",Legal,Other,Legal
Law/Legal,Niki Thakkar,Remote/NA,"₹ 2,000 - 2,500 /month",Legal,Other,Legal
Legal Research,Honhr,Remote/NA,"₹ 5,000 /month",Legal,Other,"Research, Legal"
Law/Legal,Creatorshala,Remote/NA,"₹ 10,000 - 20,000 /month",Legal,Other,Legal
Law/Legal,R.K. Bhatia & Co.,Remote/NA,"₹ 5,000 - 10,000 /month",Legal,Other,Legal
Research In Law,International Institute Of SDGs & Public Policy Research,Remote/NA,Unpaid,Legal,Other,Research
Law/Legal,HT Legal,Remote/NA,"₹ 2,000 - 5,000 /month",Legal,Other,Legal
UPSC Content Creator,Lawtech,Remote/NA,"₹ 6,500 - 9,000 lump sum",Legal,Other,General
Legal Research,Law Article,Remote/NA,Unpaid,Legal,Other,"Research, Legal"
Research (Immigration & Patent Support),LazyHired,Remote/NA,"₹ 6,000 - 10,000 /month",Legal,Other,Research
"Content Writer - Innovation, Intellectual Property, Inventors For A Silicon Valley Firm","Inventors Foundation (San Jose, United States)",Remote/NA,$ 100 /month,Legal,Other,General
Law/Legal,Vikram Singh,Remote/NA,Unpaid,Legal,Other,Legal
Law/Legal,Bhumika Bajaj,Remote/NA,"₹ 2,100 - 2,191 /month",Legal,Other,Legal
Compliance (Real Estate),Envision Next LLP,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,General
Legal,Envision Next LLP,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,Legal
Compliance (Legal),Envision Next LLP,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,Legal
Law/Legal,Poonia & Associates,Remote/NA,"₹ 10,000 - 15,000 /month",Legal,Other,Legal
Curriculum Development,STEMpedia,Remote/NA,"₹ 10,000 - 15,000 /month",Teaching,Other,General
Educational Consultant,Digital Reach,Remote/NA,"₹ 7,000 - 9,000 /month",Teaching,Other,General
DevOps Technical Instructor,Andromeda Labs,Remote/NA,"₹ 8,000 /month",Teaching,Other,DevOps
Content Management And Online LMS Operations,VISHVASNIYA EDUCATION FOUNDATION,Remote/NA,"₹ 5,000 - 6,500 /month",Teaching,Other,General
Sociology Teaching,Unimonks,Remote/NA,"₹ 6,500 - 16,000 /month",Teaching,Other,Teaching
Teaching,SR University,Remote/NA,"₹ 20,000 /month",Teaching,Other,Teaching
Teaching,Covo Del Bambino,Remote/NA,"₹ 10,000 - 12,000 /month",Teaching,Other,Teaching
Yoga Teacher,Ekam Yoga,Remote/NA,"₹ 5,000 - 25,000 /month",Teaching,Other,General
Teaching,Advaitam Child Enrichment And Daycare Centre,Remote/NA,"₹ 10,000 /month",Teaching,Other,Teaching
Educational Consultant,Proedge Skill Development & Edutech Private Limited,Remote/NA,"₹ 25,000 - 40,000 /month",Teaching,Other,General
Not found,Not found,Remote/NA,Not listed,Teaching,Other,General
Global Volunteering Intern,AIESEC India,Remote/NA,Unpaid,Teaching,Other,General
Curriculum Developer - English/EVS/History/Hindi,Ampersand Group: Vibgyor Group Of Schools,Remote/NA,"₹ 15,000 - 20,000 /month",Teaching,Other,General
Telecaller Cum Admin Executive,T.I.M.E.,Remote/NA,"₹ 8,000 - 10,000 /month",Teaching,Other,General
Subject Matter Expert (SME) Maths,Arihant Publications,Remote/NA,"₹ 10,000 - 12,000 /month",Teaching,Other,General
Subject Matter Expert (SME) – Social Studies: History And Geography,Arihant Publications,Remote/NA,"₹ 10,000 - 12,000 /month",Teaching,Other,General
Subject Matter Expert (SME) - English,Arihant Publications,Remote/NA,"₹ 10,000 - 12,000 /month",Teaching,Other,General
Life Skills Trainer,Arihant Publications,Remote/NA,"₹ 7,000 - 9,000 /month",Teaching,Other,General
Global Volunteering Intern,"AIESEC India (Mumbai, India)",Remote/NA,Unpaid,Teaching,Other,General
Teaching,Eurokids International Private Limited,Remote/NA,"₹ 8,000 /month",Teaching,Other,Teaching
Teaching,ITeach Schools,Remote/NA,"₹ 7,500 - 12,000 /month",Teaching,Other,Teaching
Teaching,Conscript HR Advisors Private Limited,Remote/NA,"₹ 5,000 /month",Teaching,Other,Teaching
Stock Market Trainer - Female,Abhijeet  Ramachandrran,Remote/NA,"₹ 7,000 - 7,500 /month",Teaching,Other,General
Mathematics,Suresh Dani's Classes,Remote/NA,"₹ 2,000 - 2,001 /month",Teaching,Other,General
Social Internship Program (60 Hours),Scope For Change,Remote/NA,Unpaid,Teaching,Other,General
Speech Therapy/Occupational Therapy,Skyward Therapy Center,Remote/NA,"₹ 9,000 - 15,000 /month",Teaching,Other,General
Volunteering,ADORE,Remote/NA,Unpaid,Teaching,Other,General
Trainer (Offline),DevTown,Remote/NA,"₹ 2,000 /month",Teaching,Other,General
Teaching (Science Background),Ignited Mindz,Remote/NA,"₹ 11,000 - 25,000 /month",Teaching,Other,Teaching
Educational Consultant,Musale Classes,Remote/NA,"₹ 7,000 - 15,000 /month",Teaching,Other,General
Science Workshop - Event Coordinator,ScienceUtsav,Remote/NA,"₹ 4,000 - 8,000 /month",Teaching,Other,General
